filename,ellipse_center_x,ellipse_center_y,ellipse_majoraxis,ellipse_minoraxis,ellipse_angle,elapsed_time
2018-02-15 17.28.24.815000.tiff,561.49,867.67,44.38,33.09,111.02,0.01
2018-02-15 17.33.14.590000.tiff,430.98,491.27,565.54,516.62,177.38,0.02
2018-02-15 17.34.55.379000.tiff,490.61,488.96,546.70,545.90,107.67,0.02
2018-02-15 17.38.05.422000.tiff,347.38,532.56,192.59,28.12,167.91,0.01
2018-02-15 17.42.21.861000.tiff,459.02,538.90,560.18,521.30,160.50,0.02
2018-02-15 17.46.27.410000.tiff,,,,,,
2018-02-15 17.49.44.087000.tiff,582.32,347.88,428.32,389.42,91.31,0.01
2018-02-15 17.50.39.802000.tiff,,,,,,
2018-02-15 17.54.24.527000.tiff,,,,,,
2018-02-15 17.55.41.631000.tiff,538.22,595.27,22.75,11.44,14.21,0.01
2018-02-15 18.03.20.661000.tiff,,,,,,
2018-02-15 18.03.44.884000.tiff,,,,,,
2018-02-15 18.06.17.336000.tiff,,,,,,
2018-02-15 18.18.18.942000.tiff,,,,,,
2018-02-15 18.33.33.176000.tiff,481.11,481.29,393.75,204.21,13.69,0.01
2018-02-15 18.35.42.911000.tiff,536.30,792.26,2.79,1.47,17.01,0.01
2018-02-15 18.42.28.237000.tiff,690.06,274.16,359.03,285.65,4.52,0.01
2018-02-15 18.43.09.176000.tiff,518.35,259.24,363.36,242.82,97.42,0.01
2018-02-15 18.50.35.215000.tiff,269.42,319.76,338.32,255.84,24.77,0.02
2018-02-15 18.53.45.116000.tiff,,,,,,
2018-02-15 18.56.36.696000.tiff,460.85,180.83,148.06,80.76,88.32,0.01
2018-02-15 19.04.48.515000.tiff,492.48,314.07,12.98,8.19,145.96,0.01
2018-02-15 19.08.15.790000.tiff,442.65,271.89,107.70,59.20,13.91,0.01
2018-02-15 19.12.20.865000.tiff,459.61,642.34,178.44,28.47,13.39,0.01
2018-02-15 19.22.13.141000.tiff,394.22,674.94,345.54,328.96,81.10,0.01
2018-02-15 19.25.00.778000.tiff,351.96,648.49,381.35,316.83,6.70,0.01
2018-02-15 19.40.36.459000.tiff,,,,,,
2018-02-15 20.03.10.591000.tiff,,,,,,
2018-02-15 20.04.16.382000.tiff,246.77,544.78,101.69,77.07,86.76,0.01
2018-02-15 20.07.47.483000.tiff,299.94,662.22,341.98,206.87,89.89,0.01
2018-05-25 08.51.37.104000.tiff,,,,,,
2018-05-25 09.08.13.569000.tiff,486.23,477.56,379.11,361.29,86.60,0.01
2018-05-25 09.09.40.225000.tiff,,,,,,
2018-05-25 09.18.30.484000.tiff,654.35,334.77,281.37,266.17,114.66,0.01
2018-05-25 09.23.14.747000.tiff,406.72,577.33,584.84,436.02,129.02,0.01
2018-05-25 09.30.24.687000.tiff,221.91,778.19,320.69,102.43,27.87,0.01
2018-05-25 09.41.32.834000.tiff,,,,,,
2018-05-25 09.54.07.326000.tiff,,,,,,
2018-05-25 10.35.05.284000.tiff,,,,,,
2018-05-25 10.37.54.811000.tiff,,,,,,
2018-06-05_090531.tiff,,,,,,
2018-06-05_135049.tiff,492.08,488.74,218.59,204.83,58.76,0.02
2018-06-08 13.52.57.006000.tiff,,,,,,
2018-06-08 13.53.41.565000.tiff,7.87,740.28,83.18,9.95,0.15,0.01
2018-06-08 14.02.49.945000.tiff,,,,,,
2018-06-08 14.12.49.445000.tiff,826.65,53.85,222.42,65.12,99.49,0.02
2018-06-08 14.52.30.444000.tiff,,,,,,
2018-06-08 14.58.01.274000.tiff,893.09,191.77,231.48,80.39,177.36,0.01
2018-06-08 15.02.07.152000.tiff,877.93,705.48,90.70,28.82,114.32,0.01
2018-06-08 15.04.22.183000.tiff,472.87,452.29,570.88,479.25,53.44,0.01
2018-06-08 15.10.30.565000.tiff,,,,,,
2018-06-08 15.20.05.321000.tiff,904.92,447.78,145.04,11.57,36.93,0.01
2018-06-08 16.20.47.879000.tiff,738.18,690.90,428.11,110.68,38.24,0.01
2018-07-24_104137.tiff,490.62,490.38,580.46,580.46,0.00,0.02
2018-07-24_112252.tiff,,,,,,
2018-08-22_124408.tiff,,,,,,
2018-08-30 11.48.34.102000.tiff,,,,,,
2018-09-21_125846.tiff,,,,,,
2018-09-25_220641.tiff,,,,,,
2018-10-03_110529.tiff,,,,,,
2018-10-04_145143.tiff,,,,,,
2018-10-12_152929.tiff,232.18,31.93,119.95,40.04,93.69,0.01
2018-10-16_110627.tiff,,,,,,
2018-10-22_094902.tiff,,,,,,
2018-11-06_111536.tiff,503.96,454.96,298.53,287.90,96.09,0.01
